"","logFC","logCPM","PValue","FDR","significant"
"SHH4",1.62331570147601,8.06461411852326,3.48156830039768e-14,2.86207019488247e-12,"Yes"
"HXT3",1.71006300627505,6.50485926292499,3.90879720762495e-14,3.16307199035775e-12,"Yes"
"SOL3",1.63619486854608,7.49303284397567,5.40272052242819e-14,4.30472147471625e-12,"Yes"
"HMX1",-1.58835640309934,8.3965122293072,9.01758221255193e-14,7.07606943618279e-12,"Yes"
"ACH1",-1.5595290382808,10.6537255799371,1.07694156254352e-13,8.32459754091475e-12,"Yes"
"CTA1",1.60258839983832,7.42012219681155,1.89900729319597e-13,1.44631746639146e-11,"Yes"
"ICS2",1.6674144818284,6.30631604263082,2.31803261483824e-13,1.73986824815177e-11,"Yes"
"RNR2",1.53556364629999,8.83139611659466,4.07564345866593e-13,3.01539392463298e-11,"Yes"
"CCC2",-1.56455791311747,7.45537648943158,6.05865194549149e-13,4.41940259516907e-11,"Yes"
"ACS1",1.5083138519844,10.4298543051639,6.32924632640665e-13,4.5526620450639e-11,"Yes"
"FET3",-1.50404652184867,10.7485923051772,6.99503125617797e-13,4.96263929804736e-11,"Yes"
"HXT4",1.67422942357012,5.61075915027343,2.31572694877471e-12,1.62069592806814e-10,"Yes"
"POT1",1.56642995432224,6.55258117344194,2.81789873585347e-12,1.94585300706468e-10,"Yes"
"CIT3",1.51428573137057,7.32167680068091,3.48934838968416e-12,2.37780727765451e-10,"Yes"
"GTO3",-1.55482420690603,6.54401510614822,4.3402490159432e-12,2.91924021474933e-10,"Yes"
"YHB1",-1.44582726625889,9.55162465067596,5.96636275331216e-12,3.96151188453893e-10,"Yes"
"HXK1",1.43496644133981,11.3857351635429,6.3495123524306e-12,4.1625474016757e-10,"Yes"
"COX26",1.47984651339549,7.29422269103433,1.04011766479195e-11,6.73346173244688e-10,"Yes"
"SSA3",1.41271985287008,9.62623018301228,1.66969508058455e-11,1.06757417559844e-09,"Yes"
"VMR1",-1.43356483054772,8.03966405767314,1.7813902245263e-11,1.12509999668557e-09,"Yes"
"SSU1",1.43262190032158,7.96808438438187,1.90047162718987e-11,1.18584850086944e-09,"Yes"
"IDH1",-1.38298374170846,9.69003166555976,4.19346642948388e-11,2.58547174265441e-09,"Yes"
"HAB1",1.5163623133459,6.02093849406685,4.28040059078231e-11,2.60802290113665e-09,"Yes"
"ALD3",1.36749258292157,8.83784840890888,8.68674047641474e-11,5.23123592178511e-09,"Yes"
"REG2",-1.46175209526419,6.26565519451207,1.17980967819236e-10,7.02325784294052e-09,"Yes"
"MAE1",-1.38785555432334,7.4521732200653,1.40235303782917e-10,8.24815853920133e-09,"Yes"
"ARG56",-1.34779998478203,9.16578117864299,1.41742828729276e-10,8.24815853920133e-09,"Yes"
"SPO1",1.4405539088991,6.17331049139745,2.32631930178406e-10,1.33866751821551e-08,"Yes"
"SHC1",1.47356679753124,5.7221677348738,3.13836448339554e-10,1.78610875379181e-08,"Yes"
"IZH4",1.46832294206581,5.78410710819285,3.21077508139155e-10,1.80745697244857e-08,"Yes"
"FUM1",-1.30976586996703,10.3829584764014,3.44980260817533e-10,1.92113201158495e-08,"Yes"
"DIA3",1.90127050023419,3.83058992307096,3.5213259622424e-10,1.94010076153759e-08,"Yes"
"NDJ1",3.35051769215805,2.08657473855137,4.20032501168226e-10,2.2898403405792e-08,"Yes"
"COT1",-1.31279219862864,8.8638797261196,4.45125748033261e-10,2.4013606761086e-08,"Yes"
"FET4",1.66031916979179,4.51562122497522,5.35411479040598e-10,2.83021247812493e-08,"Yes"
"CAR2",1.41078713520969,6.14728876303461,5.35548991805838e-10,2.83021247812493e-08,"Yes"
"YEF1",1.38971197256068,6.25471026913916,8.00317856411115e-10,4.18671331146784e-08,"Yes"
"PRB1",-1.2846560713889,9.652291409003,8.16395189577565e-10,4.22811068682221e-08,"Yes"
"FMP48",1.42110097318674,5.86753219736162,8.9774821418637e-10,4.60340396165466e-08,"Yes"
"ANS1",2.01971531453387,3.37712296729067,1.27780850071287e-09,6.4481267919205e-08,"Yes"
"DSF1",1.94698341873661,3.51404918276072,1.28240405400234e-09,6.4481267919205e-08,"Yes"
"KGD1",-1.26635108555077,9.50701608431091,1.43133283553329e-09,7.12776226464125e-08,"Yes"
"HAP4",-1.27102222219571,8.4734934828163,1.7393239594641e-09,8.57900836768052e-08,"Yes"
"REE1",1.29155314282376,7.29789052158873,2.39227444698463e-09,1.16882918499372e-07,"Yes"
"AAC1",1.26211181162708,8.04275352344875,2.74345469920504e-09,1.32632551431029e-07,"Yes"
"SPS19",1.32400876199478,6.49354804529365,2.76584583018944e-09,1.32632551431029e-07,"Yes"
"AGA2",1.29001205653553,6.95592657734443,3.57575376887377e-09,1.69897511642176e-07,"Yes"
"VHT1",-1.22424691762136,10.3768833997513,4.12802516649819e-09,1.94354930339037e-07,"Yes"
"PRY2",-1.22874996351589,8.88718391602245,4.89097660192823e-09,2.28201511904381e-07,"Yes"
"XBP1",1.22620331190958,7.88485141588284,8.07589385027971e-09,3.71524685892452e-07,"Yes"
"GRE1",1.19667394069977,11.6684144120584,8.10625400769398e-09,3.71524685892452e-07,"Yes"
"CTT1",1.20137687038149,9.91403827658326,8.28823496843289e-09,3.76533060539596e-07,"Yes"
"PRM5",1.23852069693077,7.19925709611126,1.11877473512833e-08,5.03837769846055e-07,"Yes"
"BAG7",1.3291533687428,5.55546761007265,1.71473466676537e-08,7.65569899929123e-07,"Yes"
"HMS1",1.32211855034883,5.60682710316239,1.75227430847825e-08,7.75643473812724e-07,"Yes"
"GPD2",1.1969110174742,7.81024199021027,1.85157019075892e-08,8.09632548891746e-07,"Yes"
"FOX2",1.22968311650163,6.90870988947339,1.86032580262826e-08,8.09632548891746e-07,"Yes"
"SPR28",1.48825449999109,4.46392349921655,2.40231116938862e-08,1.03257023854867e-06,"Yes"
"USV1",1.23001083658229,6.68530975190086,2.41245411979897e-08,1.03257023854867e-06,"Yes"
"IDH2",-1.15927776835513,9.87889532013486,2.6306471494031e-08,1.11673127760317e-06,"Yes"
"PIC2",-1.18505619455788,7.69871240316475,2.74092258934401e-08,1.15408439757826e-06,"Yes"
"RIE1",-1.1757040463318,8.00130554050996,2.94748180657557e-08,1.23104905453668e-06,"Yes"
"EMA17",1.53290076575226,4.12947846920824,4.09067854954027e-08,1.69484993664553e-06,"Yes"
"SNO1",-1.19770293092287,6.90813854176785,4.30900990854702e-08,1.77113986637818e-06,"Yes"
"SVS1",-1.17282903151823,7.36467928180104,5.11192926557561e-08,2.08462060365481e-06,"Yes"
"YMD8",-1.17089190800937,7.42183626546562,5.15746054286004e-08,2.08675688683376e-06,"Yes"
"ADE17",-1.13519227665277,9.46192115699048,5.33826806508858e-08,2.14316979140262e-06,"Yes"
"LPX1",-1.2292429559104,6.09055601779996,6.34674792144166e-08,2.52844672962664e-06,"Yes"
"HIS4",-1.12696231149261,9.40541166046086,6.69071667915143e-08,2.64513142605536e-06,"Yes"
"PLB3",-1.14764901987207,7.53320207679561,7.98144552547725e-08,3.13150805882172e-06,"Yes"
"TDA4",1.22664096919856,5.82809733557305,1.02331670510031e-07,3.98477986143947e-06,"Yes"
"PIR3",1.1019396185141,10.5539282652279,1.10252645231874e-07,4.26118246011847e-06,"Yes"
"PHO4",-1.22850829569891,5.79571491841819,1.14554262763982e-07,4.39464093966415e-06,"Yes"
"MFA1",1.11705128346483,8.01299399682864,1.31270141472973e-07,4.99888281388624e-06,"Yes"
"YIG1",1.20450373053381,5.98320592727192,1.33080752927697e-07,5.03084101760979e-06,"Yes"
"AQY1",1.17022151857731,6.43472129921631,1.4056932896501e-07,5.24878844501986e-06,"Yes"
"SRL4",-2.6803870217969,1.99124309493569,1.40873063112138e-07,5.24878844501986e-06,"Yes"
"FRE1",-1.13092850997935,7.38585414425683,1.44952329067723e-07,5.3622008017267e-06,"Yes"
"YCP4",1.10390118497817,8.29820491392825,1.62380918733141e-07,5.96433175970876e-06,"Yes"
"MAN2",2.10703608864819,2.55701407578005,1.72508546325403e-07,6.29170254520606e-06,"Yes"
"UPS2",-1.11730625980856,7.42980004329647,1.98662331450056e-07,7.19491059146741e-06,"Yes"
"MFA2",1.10334088397066,7.83932892084574,2.00885504800412e-07,7.22490298167595e-06,"Yes"
"VTC5",-1.12793486519465,6.93365895831718,2.22528320768103e-07,7.94809774660694e-06,"Yes"
"PIS1",1.11501956026577,7.25344886896642,2.29383406974484e-07,8.13682647069077e-06,"Yes"
"STP4",-1.11901288016465,7.0539226572156,2.56101734010066e-07,9.0227951050213e-06,"Yes"
"RNR3",1.35745913882956,4.48304818023789,2.90323561021236e-07,1.01593629900607e-05,"Yes"
"CYC7",1.52211657958596,3.80422976532614,3.1428853172592e-07,1.09241631262318e-05,"Yes"
"ROX1",-1.08761103579298,7.70819452734527,3.19247648283982e-07,1.10225571364183e-05,"Yes"
"AIM33",-1.13709395028111,6.38436389290528,3.48137941023687e-07,1.18948138852213e-05,"Yes"
"HEF3",1.11899482647452,6.68704342817214,3.49104404432059e-07,1.18948138852213e-05,"Yes"
"FTH1",-1.07392507437644,8.14753649630581,3.64050610729107e-07,1.23229942023925e-05,"Yes"
"DDR48",-1.06025887561209,9.29467154545795,3.71483173283103e-07,1.24929308729428e-05,"Yes"
"DIC1",1.10954295574033,6.82812518261249,3.82851627497035e-07,1.27921843794009e-05,"Yes"
